year,age,partylr,krbornin,krcit,krlived,krkorean,krconfuc,krfeel,krancstr,immcrime,immjobs,immideas,LETIN1,rank,age_x,rank_x,partylr_x,letin1_x,immcrime_x,immjobs_x,immideas_x,krbornin_x,krcit_x,krlived_x,krkorean_x,krconfuc_x,krfeel_x,krancstr_x
2003,31,4,3,2,3,1,4,1,2,2,3,2,3,5,19~39,middle,liberal,remained,agree,neutral,agree,0,1,0,1,0,1,1
2003,30,4,2,2,2,2,4,2,2,4,4,3,3,4,19~39,lower,liberal,remained,disagree,disagree,neutral,1,1,1,1,0,1,1
2003,30,2,3,3,3,3,3,1,4,4,4,3,3,3,19~39,lower,conservative,remained,disagree,disagree,neutral,0,0,0,0,0,1,0
2003,34,2,3,1,2,3,2,1,3,2,4,2,2,4,19~39,lower,conservative,increased,agree,disagree,agree,0,1,1,0,1,1,0
2003,34,4,2,3,3,3,2,1,3,3,3,3,3,5,19~39,middle,liberal,remained,neutral,neutral,neutral,1,0,0,0,1,1,0
2003,30,2,3,3,3,3,4,1,3,4,4,,,7,19~39,upper,conservative,,disagree,disagree,,0,0,0,0,0,1,0
2003,33,4,1,1,2,2,2,1,4,4,4,2,1,5,19~39,middle,liberal,increased,disagree,disagree,agree,1,1,1,1,1,1,0
2003,68,4,3,3,2,3,3,4,3,2,3,2,2,7,60~,upper,liberal,increased,agree,neutral,agree,0,0,1,0,0,0,0
2003,41,4,3,3,3,3,3,1,2,4,3,2,3,5,40~59,middle,liberal,remained,disagree,neutral,agree,0,0,0,0,0,1,1
2003,51,2,1,1,3,1,3,1,3,4,3,2,1,4,40~59,lower,conservative,increased,disagree,neutral,agree,1,1,0,1,0,1,0
2003,21,3,3,3,3,2,4,1,3,3,3,2,,7,19~39,upper,middle,,neutral,neutral,agree,0,0,0,1,0,1,0
2003,32,3,2,2,2,2,3,1,2,3,4,3,,6,19~39,middle,middle,,neutral,disagree,neutral,1,1,1,1,0,1,1
2003,33,1,1,1,1,1,3,1,3,3,3,3,,6,19~39,middle,conservative,,neutral,neutral,neutral,1,1,1,1,0,1,0
